id,style,category,row_index,output_col,input_image_path,output_image_path,cover,confidence,inliers,input_bytes,orig_export_bytes,output_export_bytes,budget_bytes,ref_jpeg_bytes,output_format,upscale_interp,pixel_style_hit,reason
二次元平涂-4-横屏-27,二次元平涂转像素,crop,19,output_image_path,processed/二次元平涂-4-横屏-27_input_crop.jpg,processed/二次元平涂-4-横屏-27_output_crop.jpg,0.943,0.8485,437,1276404,4701048,1011845,1021123,1774570,jpg,nearest,style=二次元平涂转像素,AI 无法整幅无黑边覆盖，已裁公共区域 3966×2244（约占原图 94%）；同比例未压分辨率
二次元平涂-4-横屏-28,二次元平涂转像素,crop,20,output_image_path,processed/二次元平涂-4-横屏-28_input_crop.jpg,processed/二次元平涂-4-横屏-28_output_crop.jpg,0.943,0.8898,654,1683178,6226824,1320011,1346542,2355534,jpg,nearest,style=二次元平涂转像素,AI 无法整幅无黑边覆盖，已裁公共区域 3966×2244（约占原图 94%）；同比例未压分辨率
二次元平涂-4-横屏-29,二次元平涂转像素,crop,21,output_image_path,processed/二次元平涂-4-横屏-29_input_crop.jpg,processed/二次元平涂-4-横屏-29_output_crop.jpg,0.8302,0.5074,275,2010601,6364198,1604936,1608480,2482440,jpg,nearest,style=二次元平涂转像素,AI 无法整幅无黑边覆盖，已裁公共区域 3720×2106（约占原图 83%）；同比例未压分辨率
二次元平涂-4-横屏-3,二次元平涂转像素,crop,22,output_image_path,processed/二次元平涂-4-横屏-3_input_crop.png,processed/二次元平涂-4-横屏-3_output_crop.jpg,0.9435,0.9109,1084,11217038,11163551,1686482,1722331,2152914,jpg,nearest,style=二次元平涂转像素,AI 无法整幅无黑边覆盖，已裁公共区域 4935×1982（约占原图 94%）；同比例未压分辨率
二次元平涂-4-横屏-30,二次元平涂转像素,crop,23,output_image_path,processed/二次元平涂-4-横屏-30_input_crop.jpg,processed/二次元平涂-4-横屏-30_output_crop.jpg,0.8309,0.6051,236,1603875,5546857,1276223,1283100,2012535,jpg,nearest,style=二次元平涂转像素,AI 无法整幅无黑边覆盖，已裁公共区域 3720×1979（约占原图 83%）；同比例未压分辨率
二次元平涂-4-横屏-31,二次元平涂转像素,crop,24,output_image_path,processed/二次元平涂-4-横屏-31_input_crop.jpg,processed/二次元平涂-4-横屏-31_output_crop.jpg,0.943,0.6915,334,1503334,5469193,1183433,1202667,2137331,jpg,nearest,style=二次元平涂转像素,AI 无法整幅无黑边覆盖，已裁公共区域 3966×2244（约占原图 94%）；同比例未压分辨率
二次元平涂-4-横屏-32,二次元平涂转像素,crop,25,output_image_path,processed/二次元平涂-4-横屏-32_input_crop.jpg,processed/二次元平涂-4-横屏-32_output_crop.jpg,0.943,0.9211,957,1147337,4267292,899264,917869,1587768,jpg,nearest,style=二次元平涂转像素,AI 无法整幅无黑边覆盖，已裁公共区域 3966×2244（约占原图 94%）；同比例未压分辨率
二次元平涂-4-横屏-33,二次元平涂转像素,crop,26,output_image_path,processed/二次元平涂-4-横屏-33_input_crop.png,processed/二次元平涂-4-横屏-33_output_crop.jpg,0.9445,0.8152,728,16215092,14619992,1914462,1978438,2473048,jpg,nearest,style=二次元平涂转像素,AI 无法整幅无黑边覆盖，已裁公共区域 3720×2106（约占原图 94%）；同比例未压分辨率
二次元平涂-4-横屏-34,二次元平涂转像素,crop,27,output_image_path,processed/二次元平涂-4-横屏-34_input_crop.png,processed/二次元平涂-4-横屏-34_output_crop.jpg,0.943,0.8526,798,6022031,6489325,1281510,1302478,1628098,jpg,nearest,style=二次元平涂转像素,AI 无法整幅无黑边覆盖，已裁公共区域 3963×2242（约占原图 94%）；同比例未压分辨率
二次元平涂-4-横屏-35,二次元平涂转像素,crop,28,output_image_path,processed/二次元平涂-4-横屏-35_input_crop.jpg,processed/二次元平涂-4-横屏-35_output_crop.jpg,0.9466,0.7989,723,8915494,5357753,1511632,1539178,1923973,jpg,nearest,style=二次元平涂转像素,AI 无法整幅无黑边覆盖，已裁公共区域 3316×1979（约占原图 95%）；同比例未压分辨率
二次元平涂-4-横屏-36,二次元平涂转像素,crop,29,output_image_path,processed/二次元平涂-4-横屏-36_input_crop.png,processed/二次元平涂-4-横屏-36_output_crop.jpg,0.9445,0.8691,770,15256266,17047364,2574868,2677294,3346618,jpg,nearest,style=二次元平涂转像素,AI 无法整幅无黑边覆盖，已裁公共区域 3720×2106（约占原图 94%）；同比例未压分辨率
二次元平涂-4-横屏-37,二次元平涂转像素,crop,30,output_image_path,processed/二次元平涂-4-横屏-37_input_crop.png,processed/二次元平涂-4-横屏-37_output_crop.jpg,0.9445,0.5108,424,16215824,17233768,2567388,2785443,3481804,jpg,nearest,style=二次元平涂转像素,AI 无法整幅无黑边覆盖，已裁公共区域 3720×2106（约占原图 94%）；同比例未压分辨率
二次元平涂-4-横屏-38,二次元平涂转像素,crop,31,output_image_path,processed/二次元平涂-4-横屏-38_input_crop.png,processed/二次元平涂-4-横屏-38_output_crop.jpg,0.9445,0.9032,700,14421840,17078284,2604675,2769381,3461727,jpg,nearest,style=二次元平涂转像素,AI 无法整幅无黑边覆盖，已裁公共区域 3720×2106（约占原图 94%）；同比例未压分辨率
二次元平涂-4-横屏-4,二次元平涂转像素,crop,32,output_image_path,processed/二次元平涂-4-横屏-4_input_crop.png,processed/二次元平涂-4-横屏-4_output_crop.jpg,0.9346,0.6558,583,22777770,19569857,3062584,3178355,3972944,jpg,nearest,style=二次元平涂转像素,AI 无法整幅无黑边覆盖，已裁公共区域 5604×3152（约占原图 93%）；同比例未压分辨率
二次元平涂-4-横屏-5,二次元平涂转像素,crop,33,output_image_path,processed/二次元平涂-4-横屏-5_input_crop.jpg,processed/二次元平涂-4-横屏-5_output_crop.jpg,0.9494,0.9588,814,5730579,3342398,838177,851812,1064766,jpg,nearest,style=二次元平涂转像素,AI 无法整幅无黑边覆盖，已裁公共区域 3258×1692（约占原图 95%）；同比例未压分辨率
二次元平涂-4-横屏-6,二次元平涂转像素,crop,34,output_image_path,processed/二次元平涂-4-横屏-6_input_crop.jpg,processed/二次元平涂-4-横屏-6_output_crop.jpg,0.9412,0.5398,414,7064986,4548766,1288356,1311930,1639913,jpg,nearest,style=二次元平涂转像素,AI 无法整幅无黑边覆盖，已裁公共区域 3963×2720（约占原图 94%）；同比例未压分辨率
二次元平涂-4-横屏-7,二次元平涂转像素,crop,35,output_image_path,processed/二次元平涂-4-横屏-7_input_crop.png,processed/二次元平涂-4-横屏-7_output_crop.jpg,0.9431,0.8853,602,11866730,11965931,1489285,1516550,1895688,jpg,nearest,style=二次元平涂转像素,AI 无法整幅无黑边覆盖，已裁公共区域 3872×2193（约占原图 94%）；同比例未压分辨率
二次元平涂-4-横屏-8,二次元平涂转像素,crop,36,output_image_path,processed/二次元平涂-4-横屏-8_input_crop.png,processed/二次元平涂-4-横屏-8_output_crop.jpg,0.8247,0.2724,137,4824760,4250864,729612,749176,936470,jpg,nearest,style=二次元平涂转像素,AI 无法整幅无黑边覆盖，已裁公共区域 2771×1964（约占原图 82%）；同比例未压分辨率
二次元平涂-4-横屏-9,二次元平涂转像素,crop,37,output_image_path,processed/二次元平涂-4-横屏-9_input_crop.jpg,processed/二次元平涂-4-横屏-9_output_crop.jpg,0.9358,0.7901,448,4925993,15767639,3922938,3940794,5065550,jpg,nearest,style=二次元平涂转像素,AI 无法整幅无黑边覆盖，已裁公共区域 5998×3435（约占原图 94%）；同比例未压分辨率
二次元平涂-4-竖屏-1,二次元平涂转像素,crop,38,output_image_path,processed/二次元平涂-4-竖屏-1_input_crop.jpg,processed/二次元平涂-4-竖屏-1_output_crop.jpg,0.8289,0.3956,233,2474568,8048134,1938079,1979654,3449137,jpg,nearest,style=二次元平涂转像素,AI 无法整幅无黑边覆盖，已裁公共区域 2426×3720（约占原图 83%）；同比例未压分辨率
二次元平涂-4-竖屏-10,二次元平涂转像素,crop,39,output_image_path,processed/二次元平涂-4-竖屏-10_input_crop.jpg,processed/二次元平涂-4-竖屏-10_output_crop.jpg,0.8379,0.3971,359,982774,2737935,754662,786219,1189223,jpg,nearest,style=二次元平涂转像素,AI 无法整幅无黑边覆盖，已裁公共区域 1685×2336（约占原图 84%）；同比例未压分辨率
二次元平涂-4-竖屏-11,二次元平涂转像素,crop,40,output_image_path,processed/二次元平涂-4-竖屏-11_input_crop.jpg,processed/二次元平涂-4-竖屏-11_output_crop.jpg,0.9474,0.9488,945,1388795,4605402,1089152,1111036,1935763,jpg,nearest,style=二次元平涂转像素,AI 无法整幅无黑边覆盖，已裁公共区域 1952×2912（约占原图 95%）；同比例未压分辨率
二次元平涂-4-竖屏-12,二次元平涂转像素,crop,41,output_image_path,processed/二次元平涂-4-竖屏-12_input_crop.jpg,processed/二次元平涂-4-竖屏-12_output_crop.jpg,0.844,0.3755,264,648826,2074548,506260,519060,816410,jpg,nearest,style=二次元平涂转像素,AI 无法整幅无黑边覆盖，已裁公共区域 1353×1962（约占原图 84%）；同比例未压分辨率
二次元平涂-4-竖屏-13,二次元平涂转像素,crop,42,output_image_path,processed/二次元平涂-4-竖屏-13_input_crop.jpg,processed/二次元平涂-4-竖屏-13_output_crop.jpg,0.9399,0.464,200,1502320,5935759,1180917,1201856,2041833,jpg,nearest,style=二次元平涂转像素,AI 无法整幅无黑边覆盖，已裁公共区域 2982×3966（约占原图 94%）；同比例未压分辨率
二次元平涂-4-竖屏-14,二次元平涂转像素,crop,43,output_image_path,processed/二次元平涂-4-竖屏-14_input_crop.jpg,processed/二次元平涂-4-竖屏-14_output_crop.jpg,0.7175,0.3103,207,5578166,9127730,2439078,2477267,3096584,jpg,nearest,style=二次元平涂转像素,AI 无法整幅无黑边覆盖，已裁公共区域 3381×5010（约占原图 72%）；同比例未压分辨率
二次元平涂-4-竖屏-15,二次元平涂转像素,crop,44,output_image_path,processed/二次元平涂-4-竖屏-15_input_crop.jpg,processed/二次元平涂-4-竖屏-15_output_crop.jpg,0.9378,0.5985,404,964590,3873271,763330,771672,1366351,jpg,nearest,style=二次元平涂转像素,AI 无法整幅无黑边覆盖，已裁公共区域 2236×3958（约占原图 94%）；同比例未压分辨率
二次元平涂-4-竖屏-16,二次元平涂转像素,crop,45,output_image_path,processed/二次元平涂-4-竖屏-16_input_crop.jpg,processed/二次元平涂-4-竖屏-16_output_crop.jpg,0.8577,0.3635,189,1482914,1279127,382372,390304,487880,jpg,nearest,style=二次元平涂转像素,AI 无法整幅无黑边覆盖，已裁公共区域 954×1462（约占原图 86%）；同比例未压分辨率
二次元平涂-4-竖屏-17,二次元平涂转像素,crop,46,output_image_path,processed/二次元平涂-4-竖屏-17_input_crop.jpg,processed/二次元平涂-4-竖屏-17_output_crop.jpg,0.926,0.654,533,5236796,6539558,1989557,2023453,2529317,jpg,nearest,style=二次元平涂转像素,AI 无法整幅无黑边覆盖，已裁公共区域 2888×4797（约占原图 93%）；同比例未压分辨率
二次元平涂-4-竖屏-18,二次元平涂转像素,crop,47,output_image_path,processed/二次元平涂-4-竖屏-18_input_crop.jpg,processed/二次元平涂-4-竖屏-18_output_crop.jpg,0.8272,0.394,238,2017250,6841168,1595906,1613800,2580647,jpg,nearest,style=二次元平涂转像素,AI 无法整幅无黑边覆盖，已裁公共区域 2798×3720（约占原图 83%）；同比例未压分辨率
二次元平涂-4-竖屏-19,二次元平涂转像素,crop,48,output_image_path,processed/二次元平涂-4-竖屏-19_input_crop.jpg,processed/二次元平涂-4-竖屏-19_output_crop.jpg,0.9399,0.9173,654,1666207,6532343,1310383,1332965,2327270,jpg,nearest,style=二次元平涂转像素,AI 无法整幅无黑边覆盖，已裁公共区域 2982×3966（约占原图 94%）；同比例未压分辨率
二次元平涂-4-竖屏-2,二次元平涂转像素,crop,49,output_image_path,processed/二次元平涂-4-竖屏-2_input_crop.jpg,processed/二次元平涂-4-竖屏-2_output_crop.jpg,0.9354,0.6644,592,6035362,11679712,3355090,3391000,4238751,jpg,nearest,style=二次元平涂转像素,AI 无法整幅无黑边覆盖，已裁公共区域 3776×5024（约占原图 94%）；同比例未压分辨率
二次元平涂-4-竖屏-20,二次元平涂转像素,crop,50,output_image_path,processed/二次元平涂-4-竖屏-20_input_crop.jpg,processed/二次元平涂-4-竖屏-20_output_crop.jpg,0.9319,0.8708,667,33671131,18037882,4039497,4048460,5060576,jpg,nearest,style=二次元平涂转像素,AI 无法整幅无黑边覆盖，已裁公共区域 4400×8749（约占原图 93%）；同比例未压分辨率
二次元平涂-4-竖屏-21,二次元平涂转像素,crop,51,output_image_path,processed/二次元平涂-4-竖屏-21_input_crop.png,processed/二次元平涂-4-竖屏-21_output_crop.jpg,0.9399,0.7418,744,16947703,19334096,2692047,2771025,3463782,jpg,nearest,style=二次元平涂转像素,AI 无法整幅无黑边覆盖，已裁公共区域 2890×4041（约占原图 94%）；同比例未压分辨率
二次元平涂-4-竖屏-22,二次元平涂转像素,crop,52,output_image_path,processed/二次元平涂-4-竖屏-22_input_crop.png,processed/二次元平涂-4-竖屏-22_output_crop.jpg,0.8258,0.4201,331,26988189,27248776,3514357,4369529,5461912,jpg,nearest,style=二次元平涂转像素,AI 无法整幅无黑边覆盖，已裁公共区域 2624×4721（约占原图 83%）；同比例未压分辨率
二次元平涂-4-竖屏-23,二次元平涂转像素,crop,53,output_image_path,processed/二次元平涂-4-竖屏-23_input_crop.jpg,processed/二次元平涂-4-竖屏-23_output_crop.jpg,0.9374,0.5586,472,5471152,10376691,2975273,3037157,3796447,jpg,nearest,style=二次元平涂转像素,AI 无法整幅无黑边覆盖，已裁公共区域 3028×5216（约占原图 94%）；同比例未压分辨率
二次元平涂-4-竖屏-3,二次元平涂转像素,crop,54,output_image_path,processed/二次元平涂-4-竖屏-3_input_crop.png,processed/二次元平涂-4-竖屏-3_output_crop.jpg,0.9642,0.7997,531,1108290,3540207,644248,660804,826006,jpg,nearest,style=二次元平涂转像素,AI 无法整幅无黑边覆盖，已裁公共区域 1280×1697（约占原图 96%）；同比例未压分辨率
二次元平涂-4-竖屏-4,二次元平涂转像素,crop,55,output_image_path,processed/二次元平涂-4-竖屏-4_input_crop.png,processed/二次元平涂-4-竖屏-4_output_crop.jpg,0.718,0.219,46,19204094,12751927,1423529,1427861,1784827,jpg,nearest,style=二次元平涂转像素,AI 无法整幅无黑边覆盖，已裁公共区域 3263×4616（约占原图 72%）；同比例未压分辨率
二次元平涂-4-竖屏-5,二次元平涂转像素,crop,56,output_image_path,processed/二次元平涂-4-竖屏-5_input_crop.jpg,processed/二次元平涂-4-竖屏-5_output_crop.jpg,0.8314,0.5341,290,574427,3596245,449035,459541,1274905,jpg,nearest,style=二次元平涂转像素,AI 无法整幅无黑边覆盖，已裁公共区域 1976×3387（约占原图 83%）；同比例未压分辨率
二次元平涂-4-竖屏-6,二次元平涂转像素,crop,57,output_image_path,processed/二次元平涂-4-竖屏-6_input_crop.jpg,processed/二次元平涂-4-竖屏-6_output_crop.jpg,0.8388,0.342,171,1082482,3162644,848144,865985,1347432,jpg,nearest,style=二次元平涂转像素,AI 无法整幅无黑边覆盖，已裁公共区域 1627×2290（约占原图 84%）；同比例未压分辨率
二次元平涂-4-竖屏-7,二次元平涂转像素,crop,58,output_image_path,processed/二次元平涂-4-竖屏-7_input_crop.jpg,processed/二次元平涂-4-竖屏-7_output_crop.jpg,0.8459,0.3494,189,788178,2295663,627912,630542,955580,jpg,nearest,style=二次元平涂转像素,AI 无法整幅无黑边覆盖，已裁公共区域 1304×1832（约占原图 85%）；同比例未压分辨率
二次元平涂-4-竖屏-8,二次元平涂转像素,crop,59,output_image_path,processed/二次元平涂-4-竖屏-8_input_crop.jpg,processed/二次元平涂-4-竖屏-8_output_crop.jpg,0.8374,0.5947,314,1016119,3148357,795874,812895,1247316,jpg,nearest,style=二次元平涂转像素,AI 无法整幅无黑边覆盖，已裁公共区域 1733×2282（约占原图 84%）；同比例未压分辨率
二次元平涂-4-竖屏-9,二次元平涂转像素,crop,60,output_image_path,processed/二次元平涂-4-竖屏-9_input_crop.jpg,processed/二次元平涂-4-竖屏-9_output_crop.jpg,0.9424,0.7242,533,1190397,4550433,948451,952317,1657504,jpg,nearest,style=二次元平涂转像素,AI 无法整幅无黑边覆盖，已裁公共区域 2670×3465（约占原图 94%）；同比例未压分辨率
